ID,Food Name,Serving Types,cooked Type,Carb_1,Fat_1,Protein_1,Carb_2,Fat_2,Protein_2,Carb_3,Fat_3,Protein_3,Carb_4,Fat_4,Protein_4
1,Chicken Breasts - Skinless,oz/g,cooked,0.0,1.545,8.397,0.0,0.0545,0.2962,,,,,,
1,Chicken Breasts - Skinless,oz/g,uncooked,0.0,0.743,6.379,0.0,0.0262,0.225,,,,,,
2,Chicken Breasts - Skin,oz/g,cooked,0.0,2.495,7.442,0.0,0.088,0.2625,,,,,,
2,Chicken Breasts - Skin,oz/g,uncooked,0.0,2.622,5.911,0.0,0.0925,0.2085,,,,,,
3,Chicken Thighs,oz/g,cooked,0.0,2.296,6.977,0.0,0.081,0.2461,,,,,,
3,Chicken Thighs,oz/g,uncooked,0.0,2.25,4.25,0.0,0.0794,0.1499,,,,,,
4,Wings,oz/g,cooked,0.0,2.305,8.635,0.0,0.0813,0.3046,,,,,,
4,Wings,oz/g,uncooked,0.0,3.643,4.967,0.0,0.1285,0.1752,,,,,,
5,Drumsticks,oz/g,cooked,0.0,2.835,6.237,0.0,0.100,0.220,,,,,,
5,Drumsticks,oz/g,uncooked,0.0,2.608,5.126,0.0,0.092,0.1808,,,,,,
6,Filet Mignon - Steak,oz/g,cooked,0.0,2.526,8.647,0.0,0.0891,0.305,,,,,,
6,Filet Mignon - Steak,oz/g,uncooked,0.0,4.846,7.49,0.0,0.1712,0.2646,,,,,,
7,Ribeye - Steak,oz/g,cooked,0.0,2.554,8.187,0.0,0.0901,0.2888,,,,,,
7,Ribeye - Steak,oz/g,uncooked,0.0,6.257,4.964,0.0,0.2207,0.1751,,,,,,
8,Porterhouse - Steak,oz/g,cooked,0.0,5.45,6.781,0.0,0.1927,0.2396,,,,,,
8,Porterhouse - Steak,oz/g,uncooked,0.0,3.986,5.809,0.0,0.1406,0.2049,,,,,,
9,Top Sirloin - Steak,oz/g,cooked,0.0,3.6,7.69,0.0,0.127,0.271,,,,,,
9,Top Sirloin - Steak,oz/g,uncooked,0.0,3.601,5.752,0.0,0.1271,0.203,,,,,,
10,Top Round - Steak,oz/g,cooked,0.0,1.3,8.667,0.0,0.0459,0.3059,,,,,,
10,Top Round - Steak,oz/g,uncooked,0.0,1.4,6.4,0.0,0.0484,0.226,,,,,,
11,New York Strip - Steak,oz/g,cooked,0.0,4.757,7.496,0.0,0.1678,0.2644,,,,,,
11,New York Strip - Steak,oz/g,uncooked,0.0,4.391,5.843,0.0,0.1549,0.2061,,,,,,
12,Bottom Round - Steak,oz/g,cooked,0.0,2.364,7.659,0.0,0.0838,0.2714,,,,,,
12,Bottom Round - Steak,oz/g,uncooked,0.0,1.867,6.0,0.0,0.0659,0.211,,,,,,
13,Eye of Round - Steak,oz/g,cooked,0.0,1.2,8.15,0.0,0.043,0.287,,,,,,
13,Eye of Round - Steak,oz/g,uncooked,0.0,1.0,6.667,0.0,0.0352,0.2353,,,,,,
14,96/4 Ground Beef,oz/g,cooked,0.0,1.42375,7.5875,0.0,0.05025,0.2675,,,,,,
14,96/4 Ground Beef,oz/g,uncooked,0.0,1.139,6.07,0.0,0.0402,0.214,,,,,,
